chembl_id,assay_type,molregno_num,confidence_score
CHEMBL829245,B,59,0
CHEMBL877472,B,38,0
CHEMBL876144,B,33,0
CHEMBL831706,B,33,0
CHEMBL830914,B,37,0
CHEMBL830915,B,37,0
CHEMBL827823,B,40,0
CHEMBL828297,B,34,0
CHEMBL830852,B,47,0
CHEMBL832232,A,41,0
CHEMBL832386,B,51,0
CHEMBL831757,B,33,0
CHEMBL836031,B,48,0
CHEMBL831831,B,37,0
CHEMBL831832,B,37,0
CHEMBL831838,B,37,0
CHEMBL831311,B,46,0
CHEMBL831312,B,41,0
CHEMBL831319,B,38,0
CHEMBL830795,B,52,0
CHEMBL831944,B,35,0
CHEMBL835402,A,41,0
CHEMBL830466,F,35,0
CHEMBL834086,F,45,0
CHEMBL834241,F,39,0
CHEMBL874204,F,39,0
CHEMBL835776,F,55,0
CHEMBL840788,F,33,0
CHEMBL874730,A,39,0
CHEMBL857326,F,63,0
CHEMBL864549,P,39,0
CHEMBL864542,F,49,0
CHEMBL863359,B,38,0
CHEMBL869935,F,42,0
CHEMBL859287,A,57,0
CHEMBL862012,P,42,0
CHEMBL861561,B,47,0
CHEMBL868350,A,39,0
CHEMBL862603,B,47,0
CHEMBL865638,B,35,0
CHEMBL870113,B,34,0
CHEMBL867888,B,66,0
CHEMBL866687,A,34,0
CHEMBL863693,B,42,0
CHEMBL865524,B,42,0
CHEMBL854585,F,39,0
CHEMBL863595,A,39,0
CHEMBL864862,B,96,0
CHEMBL864201,P,33,0
CHEMBL908044,B,35,0
CHEMBL907136,B,36,0
CHEMBL911216,B,36,0
CHEMBL856487,A,54,0
CHEMBL856488,F,54,0
CHEMBL908710,P,77,0
CHEMBL855484,B,33,0
CHEMBL911876,F,42,0
CHEMBL855648,A,35,0
CHEMBL855649,A,35,0
CHEMBL908436,B,37,0
CHEMBL908437,B,37,0
CHEMBL908438,B,37,0
CHEMBL855118,B,41,0
CHEMBL856821,P,51,0
CHEMBL909625,B,37,0
CHEMBL919866,B,34,0
CHEMBL920404,B,77,0
CHEMBL920406,B,70,0
CHEMBL920410,B,70,0
CHEMBL914826,P,44,0
CHEMBL914827,P,44,0
CHEMBL913798,F,44,0
CHEMBL918058,A,258,0
